Bus,busmap
40946,p630 2
40947,p630 2
40948,p630 3
40949,p630 3
40950,p630 2
40951,p630 3
40952,p630 3
40953,p630 2
40954,p630 2
40955,p630 5
40956,p630 2
40957,p630 2
40958,p630 5
40959,p630 3
40960,p630 3
40961,p630 2
40962,p630 3
40963,p630 2
40964,p630 2
40965,p630 2
40966,p630 5
40968,p630 1
40969,p630 3
40970,p630 3
40971,p630 3
40972,p630 2
40973,p630 2
40975,p630 5
40976,p630 5
40977,p630 1
40978,p630 2
40979,p630 5
40980,p630 3
40981,p630 3
40982,p630 3
40983,p630 3
40985,p630 3
40986,p630 2
40987,p630 2
40988,p630 5
40989,p630 3
40990,p630 5
40991,p630 2
40992,p630 3
40993,p630 3
40994,p630 5
40995,p630 3
40996,p630 3
40998,p630 2
40999,p630 5
41001,p630 2
41002,p630 5
41003,p630 3
41004,p630 2
41005,p630 3
41006,p630 2
41008,p630 1
41009,p630 3
41010,p630 2
39905,p640 1
39907,p640 1
39912,p640 1
39913,p640 1
39914,p640 1
39916,p640 1
39939,p640 1
39949,p640 1
39956,p640 1
39964,p640 1
39965,p640 1
39975,p640 1
39986,p640 1
39994,p640 1
40266,p640 1
40479,p640 0
40480,p640 1
40481,p640 0
40483,p640 0
40486,p640 1
40487,p640 1
40488,p640 1
40489,p640 1
40490,p640 1
40491,p640 1
40494,p640 1
40495,p640 1
40497,p640 0
40498,p640 1
40499,p640 1
40501,p640 1
40505,p640 1
40506,p640 1
40509,p640 1
40510,p640 0
40511,p640 1
40512,p640 1
40513,p640 0
40514,p640 1
40515,p640 1
40516,p640 1
40517,p640 1
40520,p640 1
40521,p640 1
40523,p640 1
40526,p640 0
40529,p640 1
40532,p640 1
40533,p640 0
40534,p640 1
40536,p640 0
40537,p640 1
40538,p640 1
40540,p640 1
40543,p640 1
40544,p640 1
40545,p640 1
40546,p640 1
40547,p640 0
40548,p640 1
40549,p640 0
40550,p640 1
40551,p640 1
40552,p640 1
40553,p640 1
40554,p640 1
40557,p640 0
40559,p640 1
40561,p640 1
40562,p640 1
40563,p640 0
40565,p640 1
40566,p640 1
40569,p640 0
40571,p640 1
40572,p640 1
40576,p640 1
40578,p640 0
40579,p640 1
40580,p640 1
40581,p640 1
40582,p640 1
40583,p640 0
40584,p640 0
40585,p640 1
40586,p640 0
40587,p640 1
40588,p640 0
40589,p640 1
40593,p640 1
40596,p640 1
40597,p640 0
40598,p640 1
40599,p640 1
40601,p640 1
40602,p640 1
40603,p640 1
40604,p640 1
40607,p640 1
40608,p640 1
40610,p640 1
40611,p640 1
40612,p640 1
40613,p640 1
40614,p640 1
40615,p640 1
40618,p640 1
40621,p640 1
40622,p640 1
40624,p640 1
40626,p640 1
40628,p640 0
40631,p640 1
40632,p640 1
40634,p640 1
40637,p640 1
40639,p640 1
40640,p640 1
40642,p640 1
40643,p640 1
40644,p640 1
40648,p640 0
40650,p640 1
40651,p640 1
40652,p640 1
40658,p640 0
40659,p640 0
40660,p640 1
40661,p640 1
40662,p640 1
40663,p640 1
40666,p640 1
40669,p640 1
40670,p640 1
40671,p640 0
40672,p640 1
40673,p640 1
40675,p640 1
40677,p640 1
40678,p640 1
40681,p640 1
40682,p640 1
40685,p640 0
40735,p640 0
40768,p640 0
40774,p640 0
40782,p640 0
40795,p640 0
40824,p640 0
40841,p640 0
40848,p640 0
40862,p640 0
40918,p640 0
40921,p640 0
40925,p640 0
40937,p640 0
40967,p640 0
40974,p640 0
40984,p640 0
40997,p640 0
41000,p640 0
41007,p640 0
41011,p640 0
39974,p650 1
39977,p650 1
39997,p650 2
39998,p650 1
39999,p650 2
40000,p650 2
40001,p650 1
40002,p650 2
40003,p650 2
40004,p650 2
40005,p650 2
40006,p650 1
40007,p650 1
40008,p650 0
40009,p650 0
40010,p650 2
40011,p650 0
40012,p650 2
40013,p650 1
40014,p650 1
40015,p650 1
40016,p650 2
40017,p650 0
40018,p650 2
40019,p650 2
40020,p650 2
40021,p650 2
40022,p650 0
40023,p650 1
40024,p650 0
40025,p650 0
40026,p650 2
40027,p650 2
40028,p650 2
40029,p650 2
40030,p650 2
40031,p650 2
40032,p650 2
40033,p650 2
40034,p650 0
40035,p650 0
